"ESTADO","NOMBRE","Latitud N","Longitud W","Altitud (m)","Instalación en sitio",""
"NUEVO LEÓN","CUMBRES DE MTY I","25°33'35.35""","100°23'23.65""","1455","7-Nov-12",""
"NUEVO LEÓN","CUMBRES DE MTY - EL DIENTE","25°34'37.5""","100°18'30.6""","734.4","25-Feb-16",""
"NUEVO LEÓN","PRESA EL CUCHILLO","25°43'59""","099°19'15""","134","11-Apr-00",""
"OAXACA","BENITO JUAREZ","17°09'51.4""","096°44'24.2""","1950.872","6-Nov-12",""
"OAXACA","LAGUNA CHACAHUA","15°58'00.9""","097°41'18.8""","6.648","12-Nov-12",""
"OAXACA","MATIAS ROMERO","16°52'58""","095°02'11""","186","15-Dec-02",""
"OAXACA","MIAHUATLAN","16°20'39''","096°34'47''","1588","29-Dec-10",""
"OAXACA","NOCHISTLAN","17°26'12''","097°14'57''","2040","15-Nov-04",""
"OAXACA","PINOTEPA NACIONAL","16°20'59""","098°03'09""","195","16-Dec-02",""
"OAXACA","PUERTO ESCONDIDO","15°53'28.6''","097°04'28.3''","91","5-May-15",""
"PUEBLA","HUAUCHINANGO","20°10'41.25""","098°03'59.44""","2193","21-Dec-07",""
"PUEBLA","LA MALINCHE II","19°08'27.6""","098°01'56.1""","2748.902","2-Nov-12",""
"PUEBLA","TEHUACAN","18°18'50.8""","097°37'01.6""","1736.455","2-Nov-12",""
"PUEBLA","TEZUITLÁN","19°53'16.8""","097°23'26.4""","1578","21-Dec-07",""
"PUEBLA","UNIVERSIDAD TECNOLÓGICA DE TECAMACHALCO","18°51'59''","097°43'18''","2047","2-Jun-99",""
"PUEBLA ","IZUCAR DE MATAMOROS","18°37'00''","098°27'07''","1353","18-Mar-00",""
"QUERETARO","PRESA JALPAN","21°12'23.7""","099°28'19.7""","773.357","16-Jan-13",""
"QUERETARO","SIERRA GORDA  I","21°29'56.8""","099°10'09.10""","1111.221","5-Nov-12",""
"QUERÉTARO","HUIMILPAN","20°23'25""","100°17'01""","2280","29-Feb-00",""
"QUINTANA ROO","ARRECIFES XCALAK","18°16'48.2""","087°50'07.6""","2.92","17-Dec-12",""
"QUINTANA ROO","CANCÚN","21°01'46.67""","086°51'07.52""","1","27-Apr-00",""
"QUINTANA ROO","COZUMEL","20°28'37""","086°54'25""","5","12-Dec-02",""
"QUINTANA ROO","JOSÉ MARIA MORELOS","19°45'08.11""","088°42'13.79""","56","28-Dec-07",""
"QUINTANA ROO","KANTUNILKIN","21°06´7.3""","087°29´9.9""","32.4 m","15-May-15",""
"QUINTANA ROO","LA UNION","17°53'49''","088°52'43''","11","22-Dec-10",""
"QUINTANA ROO","NICOLÁS BRAVO","18°27'19""","088°55'26""","104","27-Dec-07",""
"QUINTANA ROO","SIAN KA'AN II","19°43´23.1","087°48'45.6""","30.1 m","16-May-15",""
"SAN LUIS POTOSI","CIUDAD FERNÁNDEZ","21°56'10.8""","100°01'18.2""","1009","20-Dec-07",""
"SAN LUIS POTOSI","CIUDAD VALLES","21°58'47''","099°01'51''","58","17-Nov-04",""
"SAN LUIS POTOSI","GOGORRON","21°48'40.1""","100°56'24.8""","1809.58","13-Nov-12",""
"SAN LUIS POTOSI","MATEHUALA","23°38'51""","100°39'27""","1627","10-Dec-02",""
"SINALOA","EL FUERTE","26°24'41""","108°37'03""","82","27-Dec-07",""
"SINALOA","OBISPO","24°15'04''","107°11'17''","4","18-Nov-04",""
"SINALOA","SAN JUAN","25°29'08""","107°50'36""","112","26-Dec-07",""
"SONORA","ALAMOS","27°01'18''","108°56'16''","409","31-May-99",""
"SONORA","CABORCA","30°46'29,9""","112°26'07.3""","188","26-Dec-07",""
"SONORA","EL PINACATE","31°40'48.0""","113°18'17.2""","99.561","10-Dec-12",""
"SONORA","HERMOSILLO - BAHIA DE KINO","29°00'48""","111°08'13""","150","29-Dec-03",""
"SONORA","NOGALES","31°17'52,8""","110°54'50.2""","1269","27-Dec-07",""
"SONORA","SAN LUIS RÍO COLORADO","32°25'26.4""","114°47'52.2""","39 m","25-Dec-07",""
"SONORA","SONOYTA","31°51'55.6""","112°50'49.9""","369","28-Dec-07",""
"SONORA","YECORA","28°22'00''","108°55'00''","1531","10-Dec-02",""
"TABASCO","CAÑON  USUMACINTA","17°17´23.7"" ","091°13´44.6"" ","123","27-Nov-12",""
"TABASCO","PANTANOS DE CENTLA","18°24'22.6""","092°38'47.2""","2.325","28-Nov-12",""
"TABASCO","PARAISO","18°25'24""","093°09'20""","4","26-Dec-03",""
"TAMAULIPAS","BARRA DEL TORDO","23°03'06.99''","097°46'19.99''","5","16-Dec-11",""
"TAMAULIPAS","CIUDAD MANTE","22°44'40""","098°58'59""","85","21-Dec-03",""
"TAMAULIPAS","JAUMAVE ","23°24'27""","099°22'31""","750","28-Dec-07",""
"TAMAULIPAS","MATAMOROS","25°53'09""","097°31'07""","4","5-Apr-00",""
"TAMAULIPAS","SAN FERNANDO","24°50'34""","098°09'27""","45","8-Dec-02",""
"TAMAULIPAS","VILLAGRAN","24°28'14""","099°29'19""","390","28-Dec-07",""
"TLAXCALA","HUAMANTLA","19°23'10''","097°57'59''","2222","17-Mar-00",""
"TLAXCALA","LA MALINCHE I","19°17'51.0""","098°02'39.8""","2931.664","31-Oct-12",""
"VERACRUZ","ACAYUCAN","17°58'36.9''","094°54'03.57""","106","20-Dec-07",""
"VERACRUZ","ALVARADO","18°42'54""","095°37'57""","113","29-Mar-00",""
"VERACRUZ","CD. ALEMAN","18°11'23""","096°05'53""","40","28-Mar-00",""
"VERACRUZ","CITLALTEPEC","21°20'04''","097°52'43''","211","22-Feb-06",""
"VERACRUZ","CÓRDOBA","18°53'24.22""","096°55'23.17""","852","21-Dec-07",""
"VERACRUZ","COSCOMATEPEC","19°03'57.7''","097°02'27.53''","1495","21-Aug-13",""
"VERACRUZ","LA CANGREJERA","18°06'21""","094°19'53""","34","3-Apr-00",""
"VERACRUZ","LOMA GRANDE","18°55'31''","097°14'13''","2722","9-Oct-13",""
"VERACRUZ","LOS TUXTLAS  I","18°35'03.1""","095°04'25.2""","117.245","5-Nov-12",""
"VERACRUZ","LOS TUXTLAS  II","18°22'30.1""","094°55'51.99""","915.144","6-Nov-12",""
"VERACRUZ","PEROTE","19°32'42.6""","097°16'06.2""","2410","13-Jul-12",""
"VERACRUZ","PRESA TUXPANGO","18°50'44.4""","097°02'22.0""","965.294","5-Nov-12",""
"YUCATÁN","CELESTÚN","20°51'29""","090°22'59''","10","13-Apr-00",""
"YUCATÁN","DZILAM","21°23'26""","088°54'15""","2","28-Dec-07",""
"YUCATÁN","OXKUTZCAB","20°17'28""","089°23'40.9""","28","28-Dec-07",""
"YUCATÁN","RÍO LAGARTOS","21°34'16""","088°09'37""","5","19-Apr-00",""
"YUCATÁN","TANTAQUIN","20°01'49""","089°02'50""","30","14-Dec-02",""
"YUCATÁN","TIZIMIN","21°09'41.88""","087°59'20.28","19","19-Dec-11",""
"ZACATECAS","LA FLORIDA","22°41'10""","103°36'09""","1870","25-Dec-07",""
"ZACATECAS","ZACATECAS","22°44'48""","102°30'22""","2270","18-Apr-00",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
